                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     83,                 0.5653,                0.49994,                0.94177,                0.91404,                0.81987,                0.89751,                0.72992,                0.65247,                0.62208,                 1.0226,             0.00033023,             0.00033023,             0.00033023
                     84,                0.49798,                0.46422,                0.90261,                0.80618,                0.84141,                 0.8788,                0.71733,                0.67072,                0.69897,                 1.0341,             0.00031373,             0.00031373,             0.00031373
                     85,                0.53483,                0.48543,                0.91721,                0.87411,                0.79281,                0.87504,                0.72198,                0.63258,                0.69877,                 1.0128,             0.00029723,             0.00029723,             0.00029723
                     86,                0.51704,                0.47163,                0.90007,                0.87295,                 0.8303,                0.88495,                0.73301,                0.62752,                0.67201,                 1.0052,             0.00028072,             0.00028072,             0.00028072
                     87,                0.52118,                0.47381,                0.94016,                0.90122,                0.83232,                0.89093,                0.74338,                0.63738,                0.64704,                0.99662,             0.00026422,             0.00026422,             0.00026422
                     88,                0.52493,                 0.4838,                0.91215,                0.95728,                0.79317,                0.89697,                0.73856,                0.65028,                0.63311,                 1.0018,             0.00024772,             0.00024772,             0.00024772
                     89,                0.52738,                0.45782,                0.91969,                0.90342,                0.82914,                0.89868,                0.73852,                0.65426,                0.65409,                 1.0066,             0.00023121,             0.00023121,             0.00023121
                     90,                0.53686,                0.45107,                 0.9584,                0.93277,                0.82775,                0.89431,                0.73473,                0.66187,                0.65628,                 1.0129,             0.00021471,             0.00021471,             0.00021471
                     91,                0.43336,                0.39036,                0.86365,                0.93324,                0.82215,                0.89065,                0.73345,                0.67213,                0.66051,                 1.0116,             0.00019821,             0.00019821,             0.00019821
                     92,                0.48754,                0.40706,                0.88012,                0.94267,                0.81701,                0.89383,                0.74186,                0.65343,                0.64996,                 1.0024,              0.0001817,              0.0001817,              0.0001817
                     93,                0.43718,                0.38823,                0.84932,                0.93659,                0.82121,                0.89124,                0.74505,                0.63518,                 0.6559,                0.99426,              0.0001652,              0.0001652,              0.0001652
                     94,                0.44204,                0.40847,                0.86684,                0.97308,                0.78542,                0.89422,                0.74769,                0.61367,                0.62658,                0.98112,              0.0001487,              0.0001487,              0.0001487
                     95,                0.42449,                0.36084,                0.83619,                0.96476,                0.79744,                0.89643,                0.74709,                0.62221,                0.62466,                0.98425,             0.00013219,             0.00013219,             0.00013219
                     96,                0.45438,                0.40406,                0.87267,                0.89243,                0.84862,                0.89766,                  0.748,                0.63281,                0.62388,                0.98534,             0.00011569,             0.00011569,             0.00011569
                     97,                 0.4093,                0.35948,                0.84727,                0.92637,                0.85253,                0.89847,                0.75351,                0.62087,                0.61944,                0.97864,             9.9187e-05,             9.9187e-05,             9.9187e-05
                     98,                0.41312,                0.35617,                0.85133,                 0.9515,                0.82985,                0.89663,                0.75684,                0.61687,                 0.6224,                0.97958,             8.2683e-05,             8.2683e-05,             8.2683e-05
                     99,                0.41448,                0.35472,                0.85599,                0.94987,                0.83164,                0.89637,                0.75233,                0.61512,                0.62016,                0.98123,              6.618e-05,              6.618e-05,              6.618e-05
                    100,                0.40588,                0.34555,                0.84465,                0.94079,                 0.8303,                0.89461,                 0.7505,                0.61358,                0.61613,                0.98299,             4.9677e-05,             4.9677e-05,             4.9677e-05
