                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     50,                0.77314,                0.44025,                0.80765,                0.79136,                0.72364,                 0.7871,                0.50669,                0.90368,                 1.1252,                0.60403,             0.00073579,             0.00073579,             0.00073579
                     51,                 0.7797,                 0.4271,                0.80632,                0.77025,                0.74772,                 0.7757,                0.49416,                0.91137,                 1.1329,                 0.6062,             0.00072164,             0.00072164,             0.00072164
                     52,                0.76127,                0.42498,                0.81093,                0.77122,                 0.7225,                0.77591,                0.48861,                0.92919,                 1.1736,                0.61296,              0.0007075,              0.0007075,              0.0007075
                     53,                0.76109,                 0.4157,                 0.8099,                0.88302,                0.68326,                0.80081,                0.51285,                0.91979,                 1.0614,                0.61838,             0.00069335,             0.00069335,             0.00069335
                     54,                0.75303,                 0.4176,                0.81108,                0.78887,                0.74203,                0.78976,                0.50045,                0.91307,                 1.1541,                0.60901,              0.0006792,              0.0006792,              0.0006792
                     55,                0.75534,                0.41876,                0.80733,                 0.8524,                0.68942,                0.80023,                 0.5073,                0.93508,                 1.2602,                0.62543,             0.00066506,             0.00066506,             0.00066506
                     56,                0.77231,                0.42035,                0.81083,                0.79689,                0.74988,                0.81029,                0.51412,                 0.9274,                 1.2026,                0.62301,             0.00065091,             0.00065091,             0.00065091
                     57,                0.76475,                0.40718,                0.80163,                0.82689,                0.74096,                0.79687,                0.51021,                 0.9049,                 1.0991,                0.61524,             0.00063676,             0.00063676,             0.00063676
                     58,                0.77754,                0.42521,                0.80801,                0.80657,                0.74315,                0.79759,                0.49184,                0.93151,                 1.1747,                0.61901,             0.00062262,             0.00062262,             0.00062262
                     59,                0.77939,                0.42829,                0.80998,                0.82653,                0.74402,                0.80963,                 0.5128,                0.91796,                 1.1713,                0.61338,             0.00060847,             0.00060847,             0.00060847
                     60,                0.72847,                0.39582,                0.80638,                0.79593,                0.77147,                0.81379,                0.52242,                0.90442,                  1.215,                0.61352,             0.00059432,             0.00059432,             0.00059432
                     61,                0.74142,                0.41397,                0.80882,                0.78565,                0.76213,                0.81212,                  0.522,                0.90817,                 1.0888,                0.62818,             0.00058017,             0.00058017,             0.00058017
                     62,                0.73999,                0.41211,                0.81018,                0.79853,                0.77577,                0.81801,                0.51733,                0.92375,                 1.1014,                0.63057,             0.00056603,             0.00056603,             0.00056603
